Aardvark
Albatross
Alligator
Alpaca
Ant
Anteater
Antelope
Ape
Armadillo
Ass/Donkey
Baboon
Badger
Barracuda
Bat
Bear
Beaver
Bee
Bison
Boar (wild pig)
Also see Pig
Buffalo, African (for American buffalo, see Bison
Galago
Butterfly
Camel
Caribou
Cat
Caterpillar
Cattle
Chamois
Cheetah
Chicken
Chimpanzee
Chinchilla
Chough
Clam
Cobra
Cockroach
Cod
Cormorant
Coyote
Crab
Crane
Crocodile
Crow
Curlew
Deer
Dinosaur
Dog
Dogfish
Dolphin
Donkey - See Ass
Dotterel
Dove
Dragonfly
Duck
Also see Mallard
Dugong
Dunlin
Eagle
Echidna
Eel
Eland
Elephant
Elephant seal
Elk (wapiti)
Emu
Falcon
Ferret
Finch
Fish
Flamingo
Fly
Fox
Frog
Gaur
Gazelle
Gerbil
Giant Panda
Giraffe
Gnat
Gnu
Goat
Goose
Goldfinch
Goldfish
Gorilla
Goshawk
Grasshopper
Grouse
Guanaco
Guinea fowl
Guinea pig
Gull
Hamster
Hare
Hawk
Hedgehog
Heron
Herring
Hippopotamus
Hornet
Horse
Human
Hummingbird
Hyena
Jackal
Jaguar
Jay
Jay, Blue
Jellyfish
Kangaroo
Koala
Komodo dragon
Kouprey
Kudu
Lapwing
Lark
Lemur
Leopard
Lion
Llama
Lobster
Locust
Loris
Louse
Lyrebird
Magpie
Mallard
Also see Duck
Manatee
Marten
Meerkat
Mink
Mole
Monkey
Moose
Mouse
Mosquito
Mule
Narwhal
Newt
Nightingale
Octopus
Okapi
Opossum
Oryx
Ostrich
Otter
Owl
Ox
Oyster
Panther
Parrot
Partridge
Peafowl
Pelican
Penguin
Pheasant
Pig
Also see Boar
Pigeon
Pony- See Horse
Porcupine
Porpoise
Prairie Dog
Quail
Quelea
Rabbit
Raccoon
Rail
Ram
Also see Sheep
Rat
Raven
Red deer
Red panda
Reindeer (caribou)
Rhinoceros
Rook
Ruff
Salamander
Salmon
Sand Dollar
Sandpiper
Sardine
Scorpion
Sea lion
Sea Urchin
Seahorse
Seal
Shark
Sheep
Also see Ram
Shrew
Shrimp
Skunk
Snail
Snake
Spider
Squid
Squirrel
Starling
Stingray
Stinkbug
Stork
Swallow
Swan
Tapir
Tarsier
Termite
Tiger
Toad
Trout
Turkey
Turtle
Vicuña
Viper
Vulture
Wallaby
Walrus
Wasp
Water buffalo
Weasel
Whale
Wolf
Wolverine
Wombat
Woodcock
Woodpecker
Worm
Wren
Yak
Zebra
